"05-09-2017","Qui sera le prochain grand pâtissier ?","France 2","21h00","6.3%"
"05-09-2017","The Code","C8","21h00","3.8%"
"05-09-2017","Le vrai coÃ»t de la viande pas chère","ARTE","20h50","3.3%"
"05-09-2017","Connasse, princesse des coeurs","TMC","21h00","2.9%"
"05-09-2017","Etat de choc","W9","21h00","2.7%"
"05-09-2017","Batman Begins","TF1 Séries Films","21h00","2.5%"
"05-09-2017","Carnuntum, la cité perdue des gladiateurs","France 5","20h50","2.4%"
"05-09-2017","Hawaii 5-0","6ter","21h00","1.8%"
"05-09-2017","La story d'Indochine : l'aventure continue","France 4","Unknown","1.8%"
"05-09-2017","911 : Appel d'urgence","RMC","Unknown","1.6%"
"05-09-2017","J'ai 16 ans et je suis déjÃ  maman","TFX","21h00","1.6%"
"05-09-2017","Legends of Tomorrow","CSTAR","Unknown","1.1%"
"05-09-2017","Sans laisser de traces","NRJ 12","20h55","0.9%"
"05-09-2017","Les vauriens","Numéro 23","20h55","0.9%"
"05-09-2017","Chéri","Chérie 25","20h55","0.7%"
"05-09-2017","Y'aura pas école demain","Gulli","20h55","0.7%"
"05-09-2017","H","France Ô","21h00","0.5%"
"06-09-2017","Alex Hugo","France 2","21h00","22.8%"
"06-09-2017","Esprits criminels","TF1","21h00","20.0%"
"06-09-2017","Des racines et des ailes","France 3","20h55","10.6%"
"06-09-2017","SOS cantine : les chefs contre-attaquent","M6","21h00","9.3%"
"06-09-2017","90' Enquêtes","TMC","21h00","3.8%"
"06-09-2017","Anthony Zimmer","ARTE","20h55","3.3%"
"06-09-2017","Justice, le douloureux silence","France 5","20h50","3.0%"
"06-09-2017","Enquêtes criminelles : le magazine des faits divers","W9","21h00","2.2%"
"06-09-2017","Cash Island","C8","21h00","2.2%"
"06-09-2017","Section de recherches","TF1 Séries Films","21h00","1.9%"
"06-09-2017","L'auberge espagnole","France 4","21h00","1.9%"
"06-09-2017","Paris-Charles-de-Gaulle : aéroport du futur","RMC","20h50","1.8%"
"06-09-2017","Bad Ass 3","NRJ 12","Unknown","1.8%"
"06-09-2017","Sniper 4","CSTAR","Unknown","1.7%"
"06-09-2017","La lettre oubliée","6ter","21h00","1.4%"
